#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2020 08 01 19 10  20  1.5  2.1 99.00 99.00 99.00 999 9999.0  23.1 999.0  19.1 99.0 99.00
2020 08 01 19 20  10  2.1  2.6 99.00 99.00 99.00 999 9999.0  23.3 999.0  18.4 99.0 99.00
2020 08 01 19 30  10  2.6  2.6 99.00 99.00 99.00 999 9999.0  23.2 999.0  18.7 99.0 99.00
2020 08 01 19 40 360  3.1  3.1 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.0 99.0 99.00
2020 08 01 19 50  10  3.6  3.6 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.2 99.0 99.00
2020 08 01 20 00  10  3.6  4.1 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.4 99.0 99.00
2020 08 01 20 10 360  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.1 999.0  19.4 99.0 99.00
2020 08 01 20 20 360  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.1 999.0  19.6 99.0 99.00
2020 08 01 20 30 360  4.6  5.1 99.00 99.00 99.00 999 9999.0  23.2 999.0  20.1 99.0 99.00
2020 08 01 20 40 360  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.8 99.0 99.00
2020 08 01 20 50 360  5.7  6.2 99.00 99.00 99.00 999 9999.0  23.1 999.0  19.9 99.0 99.00
2020 08 01 21 00 360  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  20.1 99.0 99.00
2020 08 01 21 10  10  5.7  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  19.9 99.0 99.00
2020 08 01 21 20  10  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.1 999.0  20.3 99.0 99.00
2020 08 01 21 30  20  5.7  5.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  20.6 99.0 99.00
2020 08 01 22 00 360  5.1  5.7 99.00 99.00 99.00 999 9999.0  23.1 999.0  20.8 99.0 99.00
2020 08 01 22 10 360  6.2  6.7 99.00 99.00 99.00 999 9999.0  23.2 999.0  20.6 99.0 99.00
